id,zip_type,city,valid_from,onrp,communitynumber_bfs,country_id/id,sort,lang,additional_digit,post_delivery_through,state_id/id,name
npa_6260 Hintermoos,20,Hintermoos,1995-09-04,6353,1147,base.ch,1,1,3,7692,l10n_ch_states.state_LU,6260
zip_6354,40,Genève 71 CS CP,1995-04-12,6354,6621,base.ch,0,2,71,4393,l10n_ch_states.state_GE,1211
zip_6355,80,Chavannes-de-Bogis OLS,2008-01-01,6355,5707,base.ch,0,2,1,523,l10n_ch_states.state_VD,1279
zip_6356,80,Genève ICC OLS,2008-01-01,6356,6630,base.ch,0,2,2,422,l10n_ch_states.state_GE,1215
zip_6357,30,Sion 4,1996-08-06,6357,6266,base.ch,0,2,4,6357,l10n_ch_states.state_VS,1950
npa_6383 Wiesenberg,20,Wiesenberg,1995-02-22,6360,1503,base.ch,1,1,3,3453,l10n_ch_states.state_NW,6383
zip_6361,40,Bern 71 CS PZ,1996-12-20,6361,351,base.ch,0,1,71,1710,l10n_ch_states.state_BE,3000
npa_4573 Lohn-Ammannsegg,10,Lohn-Ammannsegg,1996-09-13,6362,2526,base.ch,1,1,0,2716,l10n_ch_states.state_SO,4573
zip_6365,40,St. Gallen Künzler AG,1993-12-28,6365,3203,base.ch,0,1,0,5219,l10n_ch_states.state_SG,9026
zip_6381,80,Glattbrugg Zustellung,2003-07-01,6381,66,base.ch,0,1,60,6381,l10n_ch_states.state_ZH,8152
zip_6386,80,Thyon-Les Collons,2012-11-01,6386,6089,base.ch,0,2,0,1225,l10n_ch_states.state_VS,1988
zip_6389,80,Berikon 2 Dorf,2008-01-01,6389,4062,base.ch,0,1,2,6389,l10n_ch_states.state_AG,8965
zip_6390,30,Berikon 1,1995-12-07,6390,4062,base.ch,0,1,1,6390,l10n_ch_states.state_AG,8965
zip_6412,30,Schmiedrued-Walde,2010-04-01,6412,4143,base.ch,0,1,0,6412,l10n_ch_states.state_AG,5046
zip_6413,30,Ebikon,1994-09-28,6413,1054,base.ch,0,1,0,6413,l10n_ch_states.state_LU,6031
zip_6414,30,Emmenbrücke 1,1994-06-02,6414,1024,base.ch,0,1,0,6414,l10n_ch_states.state_LU,6021
zip_6415,30,Engelberg,1994-06-02,6415,1402,base.ch,0,1,0,6415,l10n_ch_states.state_OW,6391
zip_6416,30,Hochdorf,1994-06-02,6416,1031,base.ch,0,1,0,6416,l10n_ch_states.state_LU,6281
zip_6417,30,Kriens,1994-06-02,6417,1059,base.ch,0,1,0,6417,l10n_ch_states.state_LU,6011
zip_6418,30,Sarnen 1,1995-08-30,6418,1407,base.ch,0,1,0,6418,l10n_ch_states.state_OW,6061
zip_6419,30,Stans,1996-08-06,6419,1509,base.ch,0,1,0,6419,l10n_ch_states.state_NW,6371
zip_6420,30,Schwyz,1996-03-04,6420,1372,base.ch,0,1,0,6420,l10n_ch_states.state_SZ,6431
zip_6422,80,Kloten Kaserne,2003-01-01,6422,62,base.ch,0,1,75,7338,l10n_ch_states.state_ZH,8302
zip_6427,40,St. Gallen Quelle,1994-09-01,6427,3203,base.ch,0,1,0,5204,l10n_ch_states.state_SG,9025
npa_8725 Gebertingen,20,Gebertingen,2008-05-01,6428,3341,base.ch,1,1,2,7700,l10n_ch_states.state_SG,8725
zip_6429,80,Lugano 7,2008-01-01,6429,5192,base.ch,0,3,7,3848,l10n_ch_states.state_TI,6900
zip_6430,30,Lugano 7 Loreto Caselle,1996-06-10,6430,5192,base.ch,0,3,0,6430,l10n_ch_states.state_TI,6907
zip_6431,40,Genève,2004-05-01,6431,6621,base.ch,0,2,0,8490,l10n_ch_states.state_GE,1240
zip_6433,30,Buchs SG 1,1996-08-06,6433,3271,base.ch,0,1,1,6433,l10n_ch_states.state_SG,9471
zip_6435,30,Buchs SG 3,1996-08-05,6435,3271,base.ch,0,1,3,6435,l10n_ch_states.state_SG,9471
zip_6436,30,Nyon 2,1994-10-14,6436,5724,base.ch,0,2,2,6436,l10n_ch_states.state_VD,1260
zip_6437,30,Nyon 1,1994-10-14,6437,5724,base.ch,0,2,1,6437,l10n_ch_states.state_VD,1260
zip_6438,80,Payerne Caserne,2003-01-01,6438,5822,base.ch,0,2,75,726,l10n_ch_states.state_VD,1530
zip_6439,80,Birmensdorf ZH Kaserne,2003-01-01,6439,242,base.ch,0,1,75,7226,l10n_ch_states.state_ZH,8903
zip_6440,80,Bülach Kaserne,2003-01-01,6440,53,base.ch,0,1,75,7228,l10n_ch_states.state_ZH,8180
zip_6441,80,Dübendorf Kaserne,2003-01-01,6441,191,base.ch,0,1,75,4508,l10n_ch_states.state_ZH,8600
zip_6442,80,Frauenfeld Kaserne,2003-01-01,6442,4566,base.ch,0,1,75,4808,l10n_ch_states.state_TG,8500
zip_6444,30,Rorschach,1994-11-23,6444,3215,base.ch,0,1,0,6444,l10n_ch_states.state_SG,9401
zip_6445,30,Wil SG 1,1998-03-20,6445,3427,base.ch,0,1,0,6445,l10n_ch_states.state_SG,9501
zip_6446,80,Bern 77 SBV,2008-12-01,6446,351,base.ch,0,1,77,1710,l10n_ch_states.state_BE,3000
zip_6447,30,Bremgarten AG 2,1996-03-26,6447,4063,base.ch,0,1,2,6447,l10n_ch_states.state_AG,5620
zip_6449,30,Bremgarten AG 1,1995-12-07,6449,4063,base.ch,0,1,1,6449,l10n_ch_states.state_AG,5620
zip_6455,80,Zürich Briefzentrum,2007-01-01,6455,247,base.ch,0,1,50,6455,l10n_ch_states.state_ZH,8010
zip_6486,80,Delémont car postal JU-NE,1996-09-13,6486,6711,base.ch,0,2,76,1554,l10n_ch_states.state_JU,2800
zip_6496,40,Genève 70,1995-02-27,6496,6621,base.ch,0,2,70,381,l10n_ch_states.state_GE,1211
zip_6498,40,Solothurn,1996-09-12,6498,2601,base.ch,0,1,0,2716,l10n_ch_states.state_SO,4509
zip_6499,30,Sarnen 2,1995-08-30,6499,1407,base.ch,0,1,4,6499,l10n_ch_states.state_OW,6060
zip_6508,80,Sarnen 2 Büntenpark,2004-09-01,6508,1407,base.ch,0,1,3,7694,l10n_ch_states.state_OW,6060
zip_6509,80,Sarnen 1,2011-03-01,6509,1407,base.ch,0,1,1,6418,l10n_ch_states.state_OW,6060
npa_1958 Uvrier,20,Uvrier,1996-08-06,6511,6266,base.ch,1,2,2,1203,l10n_ch_states.state_VS,1958
zip_6516,30,Genève 5,2004-08-01,6516,6623,base.ch,0,2,5,6516,l10n_ch_states.state_GE,1211
zip_6518,40,Genève 84 Votations,1995-06-21,6518,6621,base.ch,0,2,84,352,l10n_ch_states.state_GE,1211
zip_6519,80,St. Gallen 14 Zustellung,1999-04-08,6519,3203,base.ch,0,1,60,6519,l10n_ch_states.state_SG,9014
